title,date,job_url,organization,employment_type,location
Communications Manager,"August 10, 2018",https://la2050.org/jobs/1475,Harbor Freight Tools for Schools,Full Time,"Los Angeles, California"
Social Innovation and Design Intern,"August 9, 2018",https://la2050.org/jobs/1473,LA2050 // Goldhirsh Foundation,Part Time,"Los Angeles, California"
Digital Content and Communications Intern,"August 9, 2018",https://la2050.org/jobs/1474,LA2050 // Goldhirsh Foundation,Part Time,"Los Angeles, California"
Entrepreneur-in-Residence,"July 25, 2018",https://docs.google.com/document/d/1cncFvhRgKHUqxdvnSiqv7B-ihHEQq0mr2zlrpmqnGqA/edit,New Media Ventures,Part Time,"Oakland, California or remote"
Vice President of Program,"July 23, 2018",https://www.1degree.org/about/join/vp-of-program/?p=BL-OPN-ALL-NL61-2017-JUL-26-LAPress,One Degree,Full Time,TBD
Communications Manager,"July 19, 2018",https://newschools.theresumator.com/apply/jobs/details/uuQUVGEjLP?,NewSchools Venture Fund,Full Time,"Oakland, California"
"Associate Partner (Selection), Innovative Schools","July 19, 2018",https://newschools.theresumator.com/apply/jobs/details/XjimmhRQEm?,NewSchools Venture Fund,Full Time,"Oakland, California"
"Associate Partner (Relationships), Innovative Schools","July 19, 2018",https://newschools.theresumator.com/apply/jobs/details/7Er2otIS5V?,NewSchools Venture Fund,Full Time,"Oakland, California"
"Associate Partner, Ed Tech","July 19, 2018",https://newschools.theresumator.com/apply/jobs/details/WhvYPvQtlo?,NewSchools Venture Fund,Full Time,"Oakland, California"
"Associate Partner, Diverse Leaders","July 19, 2018",https://newschools.theresumator.com/apply/jobs/details/XBQzoTNmm9?,NewSchools Venture Fund,Full Time,"Oakland, California"
Program Manager,"July 17, 2018",https://phe.bamboohr.com/jobs/view.php?id=60,Peer Health Exchange,Full Time,"San Francisco, California"
"Manager, Institutional Giving","July 17, 2018",https://phe.bamboohr.com/jobs/view.php?id=64,Peer Health Exchange,Full Time,"Chicago, Illinois"
"Associate, Institutional Giving","July 17, 2018",https://phe.bamboohr.com/jobs/view.php?id=61,Peer Health Exchange,Full Time,TBD
Analyst,"July 1, 2018",http://www.collaborativefund.com/blog/calling-others-to-join-collaborative-fund/,Collaborative Fund,Full Time,TBD
Product Manager,"June 18, 2018",https://www.truelinkfinancial.com/career/product-manager-2,True Link Financial,Full Time,TBD
Director of Platform Partnerships,"June 18, 2018",https://scopely.com/join-us/,Scopely,Full Time,TBD
Director of Financial Markets and Policy,"June 18, 2018",https://ltse.com/careers,Long Term Stock Exchange,Full Time,TBD
