title,date,details_url,content
And the My LA2050 Winners Are...,"July 9, 2018",https://www.prweb.com/releases/2018/07/prweb15610130.htm,"Today, the Goldhirsh Foundation has announced the winners of the [2018 My LA2050 Activation Challenge](https://activation.la2050.org), an open call for ideas designed to activate 100,000 Angelenos to make LA the best place to learn, create, play, connect, and live."
Stockton's Young Mayor has Bold Turnaround Plan: Basic Income and Stipends for Potential Shooters,"May 26, 2018",http://www.latimes.com/local/california/la-me-lopez-stockton-money-05272018-story.html,"Stockton Mayor Michael Tubbs says that for way too long, his city has been known for headlines about bankruptcy, violent crime and the housing collapse. In the future, he wants it to be known as a place willing to test bold solutions."
Forget the GOP Tax Plan. Stockton Has a Real Solution for Poverty – Free Money,"November 20, 2017",http://www.sacbee.com/opinion/opn-columns-blogs/erika-d-smith/article185683993.html,"Republicans in Congress certainly talk a good game about helping the poor and middle class, arguing, however unconvincingly, that their rewrite of the tax code will amount to more than just a giveaway to the rich. But all their shameless maneuvering is really doing is making once-crazy, semi-socialistic economic ideas, such as universal basic income, seem sane."
"Foundation Provides Additional $250,000 to Stockton Basic Income Program","November 16, 2017",http://www.recordnet.com/news/20171116/foundation-provides-additional-250000-to-stockton-basic-income-program/1,"A $1 million “basic income” experiment in Stockton has received an additional $250,000 contribution, Mayor Michael Tubbs’ office announced Thursday afternoon. The Goldhirsh Foundation announced it will match up to $250,000 in donations to Stockton’s recently revealed basic income program, which has been dubbed the Stockton Economic Empowerment Demonstration (SEED)."
Stockton to Pilot ‘Basic Income’ Experiment,"October 18, 2017",http://www.recordnet.com/news/20171018/stockton-to-pilot-basic-income-experiment,"A consortium of policy experts, researchers and academics has awarded $1 million to Stockton to fund an experiment that aims to assess the social benefits of providing a guaranteed monthly income for one or more years to a tiny segment of the city’s residents, Mayor Michael Tubbs announced Wednesday."
"3 Years Ago, Stockton, California, was Bankrupt. Now It's Trying Out a Basic Income.","October 18, 2017",https://www.vox.com/policy-and-politics/2017/10/18/16479796/stockton-california-basic-income-economic-security-experiment,"Next year, a random sample of the 300,000 residents of Stockton, a port city in California’s Central Valley, will get $500 per month ($6,000 a year) with no strings attached. It’s the latest test of a policy known as basic income, funded not out of city revenues but by individual and foundation philanthropy."
"A California City is Launching the First US Experiment in Basic Income — and Residents Will Get $6,000 a Year","October 17, 2017",http://www.businessinsider.com/stockton-california-launching-the-first-us-experiment-in-basic-income-2017-10,"Stockton, California is expected to become the first US city to launch an experiment in universal basic income, a system of wealth distribution in which people receive a set amount of money just for being alive. Stockton Mayor Michael Tubbs said that by August 2018 he hopes to enroll an undisclosed number of Stockton's 315,000 residents in the program."
Why You Should Be Highly Optimistic If You Want To Be Successful,"October 5, 2017",https://www.cnbc.com/2017/10/05/why-should-you-be-highly-optimistic-if-you-want-to-be-successful.html,"Ben Goldhirsh, CEO of Good Worldwide, reiterates the importance of optimism in accomplishing goals. When discussing optimism, your ""expectations kind of dictate outcomes,"" he says. ""People are hungry to see their expectations elevated."""
How Annenberg Tech turns LA Geeks into Philanthropists,"July 5, 2017",https://www.pcmag.com/news/354419/how-annenbergtech-turns-l-a-geeks-into-philanthropists,"AnnenbergTech introduces those in the industry to the concept of local citizenship, and—when they strike it really rich—to philanthropy."
LA2050 and PVBLIC Foundation,"April 18, 2017",https://www.pvblic.org/goldhirsh,"PVBLIC Foundation works strategically to pair media space with non-profits at local, national and global levels, using emerging technologies to amplify non-profits and their messages. As described in this case study, LA2050 collaborated with PVBLIC to produce My LA2050 winner bus benches across the city."
