title,categories,details_url
A Sense of Purpose,capital-publications,https://www.blackrock.com/corporate/en-us/investor-relations/larry-fink-ceo-letter
Space to Lead (2017),capital-publications,http://www.futurecitiesla.org/space_to_lead_focla?utm_campaign=eventfollowup&utm_medium=email&utm_source=futurecities
The Op-Ed Project: Op-Ed Writing Basic Tips and Tricks,capital-publications,https://www.theopedproject.org/oped-basics/
This Might Be the Best Idea for Turning Out More Voters in U.S. Elections (2017),capital-publications,http://nymag.com/daily/intelligencer/2017/07/making-voting-more-engaging-might-make-more-people-vote.html
"Crowdsourcing: Practical Insights for Entrepreneurs, Investors, and Philanthropists (2015)",capital-publications,http://la2050.s3-us-west-1.amazonaws.com/comfy/cms/files/106/files/original/TaraRothToolsforCrowdsourcing.pdf
Evolution of an Impact Portfolio: From Implementation to Results (2014),capital-publications,http://www.sonencapital.com/evolution-of-impact.php
Insights from a Decade of Philanthropic R&D (2017),capital-publications,https://durfee.org/durfee-content/uploads/2016/10/Durfee-What-If-Report-FINAL.pdf
The 48 Laws of Power,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=6170941
The Upside of Your Dark Side,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=893534792
The Rise and Fall of Urban Economies,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=1100384479
The End of the Suburbs,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=687503806
Contagious,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=648914865
10 Day MBA,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=21785586
The Airbnb Story,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=1362158604
Personal History,currently-reading,https://ls2pac.lapl.org/?section=resource&resourceid=25571206
Spark Adobe,innovative-tools,https://spark.adobe.com/
Omaze,innovative-tools,https://www.omaze.com
CrowdFunder,innovative-tools,https://www.crowdfunder.com
Thunderclap,innovative-tools,https://www.thunderclap.it
ImpactBase,innovative-tools,http://www.impactbase.org
OpenIDEO,innovative-tools,https://openideo.com
IOBY,innovative-tools,https://www.ioby.org
Data USA: Los Angeles,innovative-tools,http://datausa.io/profile/geo/los-angeles-county-ca
