title,date,details_url,content
The Westly Prize,"October 15, 2018",http://westly.org/westly-prize/,"The Westly Foundation will award up to three Grand Prizes of $40,000 each to early-stage, young social innovators in California with novel solutions to community challenges."
United Way Funders Collaborative,"August 21, 2018",http://homeforgoodla.org/our-work/funders-collaborative/grantseekers/,Apply to the LA Homelessness Challenge and the Housing Innovation Challenge to win up to $1million for creative housing models.
WildArk,"August 14, 2018",https://wildark.com/blog/enter-pathfinder-award-innovation-nature-conservation/,"The Pathfinder Award recognizes outstanding and innovative solutions for protected and conserved areas, developed and implemented by individuals, organisations or groups."
Unilever,"June 28, 2018",https://stage.youngentrepreneursawards.unilever.com/how-to-enter,"Unilever is awarding young entrepreneur with initiatives, products or services already in action tackling sustainability."
Investing in Artists,"June 28, 2018",https://www.cciarts.org/grantsprogram.htm,The Investing in Artists grants program enhances the working lives and strengthen the creative support system for California artists working in all disciplines.
Online News Association,"June 28, 2018",https://journalists.org/programs/journalism-360/challenge/,This is an open call for ideas using immersive storytelling to discover new ways to engage audiences and advance the field of journalism.
Conservation Labs,"June 30, 2018",https://conservationx.com/challenge/cxtech/prize,Conservation X Labs (CXL) is seeking bold ideas for technology solutions to conservation challenges.
Cities for Financial Empowerment Fund,"July 2, 2018",https://www.grantinterface.com/Process/Apply?urlkey=CitiesFE,The CFE Fund is seeking partners to expand the opportunity to integrate banking access into programs that work with high school age youth.
Harbor Freight Tools for Schools,"July 6, 2018",https://hftforschoolsprize.skild.com/skild2/hftforschoolsprize/loginPage.action=,The 2018 Harbor Freight Tools for Schools Prize for Teaching Excellence will award $1 million in prizes to U.S. public high school skilled trades teachers and programs!
The Roddenberry Foundation,"July 12, 2018",https://www.roddenberryprize.org/,"The 2018 Roddenberry Prize will award four grants to organizations focused on four issue areas, food waste, plant-rich diets, girls’ education, and women’s rights, to solve the climate crisis."
The Tech Museum of Innovation,"July 15, 2018",https://www.thetech.org/TechArts,"The Incubator awards grants of up to $50,000 to develop new digital art experiences."
